entrez_id,gene_name,confidence,label
11754,Aoc3,3,HC
76507,Aoc1,-1,LC
237940,Aoc2,0,NC
13081,Cyp24a1,3,HC
13115,Cyp27b1,-1,LC
231691,Sds,1,MC
20887,Sult1a1,3,HC
217593,Slc25a21,0,NC
106557,Ldhal6b,-1,LC
16833,Ldhc,-1,LC
54122,Uevld,3,HC
16832,Ldhb,3,HC
16828,Ldha,0,NC
80879,Slc16a3,3,HC
20503,Slc16a7,3,HC
20501,Slc16a1,3,HC
232156,Slc4a5,0,NC
54403,Slc4a4,3,HC
18293,Ogdh,3,HC
13382,Dld,3,HC
27402,Pdhx,3,HC
78920,Dlst,3,HC
100417514,Adh6b,0,NC
26876,Adh4,1,MC
11522,Adh1,3,HC
11529,Adh7,3,HC
11532,Adh5,3,HC
76187,Adhfe1,3,HC
12846,Comt,3,HC
72472,Slc16a10,3,HC
11670,Aldh3a1,3,HC
73458,Aldh3b3,0,NC
621603,Aldh3b2,3,HC
56847,Aldh1a3,3,HC
67689,Aldh3b1,3,HC
15445,Hpd,-1,LC
268860,Abat,3,HC
70750,Kdsr,0,NC
107766,Haao,3,HC
52430,Echdc2,3,HC
23923,Aadat,-1,LC
70266,Kyat1,3,HC
13195,Ddc,-1,LC
17161,Maoa,3,HC
109731,Maob,3,HC
50799,Slc25a13,-1,LC
78830,Slc25a12,3,HC
246277,Csad,3,HC
14415,Gad1,-1,LC
14417,Gad2,-1,LC
14718,Got1,3,HC
14719,Got2,0,NC
212647,Aldh4a1,3,HC
17250,Abcc1,3,HC
20859,Sult2a1,0,NC
629219,Sult2a6,0,NC
434264,Sult2a5,0,NC
629203,Sult2a3,0,NC
434121,Sult2a4,0,NC
20509,Slc19a1,3,HC
11761,Aox1,3,HC
110877,Slc18a1,3,HC
214084,Slc18a2,3,HC
14275,Folr1,-1,LC
14276,Folr2,3,HC
17159,Man2b1,3,HC
239559,A4galt,3,HC
333424,A4gnt,0,NC
80908,Abo,-1,LC
215335,Slc36a1,0,NC
232333,Slc6a1,3,HC
243616,Slc6a11,-1,LC
14412,Slc6a13,-1,LC
14411,Slc6a12,-1,LC
110446,Acat1,3,HC
231086,Hadhb,3,HC
52538,Acaa2,3,HC
97212,Hadha,3,HC
224530,Acat3,0,NC
110460,Acat2,3,HC
235674,Acaa1b,3,HC
100705,Acacb,0,NC
11416,Slc33a1,3,HC
68738,Acss1,3,HC
380660,Acss3,0,NC
54342,Gnpnat1,3,HC
56174,Nagk,3,HC
109785,Pgm3,3,HC
327942,Pigl,0,NC
217214,Nags,1,MC
11423,Ache,3,HC
20508,Slc18a3,-1,LC
104112,Acly,3,HC
94181,Nans,3,HC
235504,Slc17a5,3,HC
67311,Nanp,0,NC
11433,Acp5,3,HC
66659,Acp6,3,HC
66885,Acadsb,3,HC
11364,Acadm,3,HC
11409,Acads,3,HC
102632,Acad11,3,HC
66948,Acad8,3,HC
229211,Acad9,3,HC
56357,Ivd,3,HC
74156,Acot12,-1,LC
11430,Acox1,3,HC
109652,Acy1,3,HC
11429,Aco2,3,HC
11428,Aco1,3,HC
93732,Acox2,-1,LC
11431,Acp1,3,HC
56318,Acpp,-1,LC
57279,Slc25a20,3,HC
60525,Acss2,3,HC
78894,Aacs,3,HC
107626,Asmt,0,NC
13106,Cyp2e1,3,HC
11486,Ada,1,MC
13340,Slc29a2,3,HC
11639,Ak4,3,HC
11637,Ak2,3,HC
229949,Ak5,-1,LC
56248,Ak3,3,HC
11702,Amd1,0,NC
100041585,Amd2,0,NC
11512,Adcy6,3,HC
271639,Adcy10,-1,LC
104111,Adcy3,-1,LC
11514,Adcy8,-1,LC
210044,Adcy2,3,HC
11513,Adcy7,3,HC
432530,Adcy1,-1,LC
104110,Adcy4,3,HC
11515,Adcy9,3,HC
224129,Adcy5,3,HC
63959,Slc29a1,3,HC
434203,Slc28a1,0,NC
114304,Slc28a3,3,HC
269346,Slc28a2,0,NC
71279,Slc29a3,3,HC
53893,Nudt5,3,HC
12494,Cd38,3,HC
12895,Cpt1b,3,HC
78070,Cpt1c,3,HC
12894,Cpt1a,3,HC
12896,Cpt2,3,HC
23972,Papss2,3,HC
23971,Papss1,3,HC
11564,Adsl,3,HC
231727,B3gnt4,-1,LC
53625,B3gnt2,3,HC
108902,B4gat1,3,HC
210004,B3gntl1,1,MC
232984,B3gnt8,-1,LC
227327,B3gnt7,-1,LC
72297,B3gnt3,3,HC
75986,Agmat,3,HC
67512,Agpat2,0,NC
102247,Gpat4,3,HC
68262,Agpat4,3,HC
28169,Agpat3,3,HC
52123,Agpat5,3,HC
55979,Agpat1,3,HC
67216,Mboat2,3,HC
268782,Agxt2,0,NC
71760,Etnppl,-1,LC
11611,Agxt,-1,LC
15211,Hexa,3,HC
15212,Hexb,3,HC
67054,Paics,3,HC
67863,Slc25a11,3,HC
27376,Slc25a10,3,HC
114644,Slc13a3,3,HC
77337,Akr1c21,-1,LC
83702,Akr1c6,-1,LC
208665,Akr1d1,-1,LC
20514,Slc1a5,3,HC
55963,Slc1a4,3,HC
53896,Slc7a10,3,HC
17254,Slc3a2,3,HC
11656,Alas2,3,HC
26912,Gcat,3,HC
11655,Alas1,3,HC
67760,Slc38a2,3,HC
11988,Slc7a2,3,HC
56774,Slc6a14,-1,LC
11987,Slc7a1,3,HC
105727,Slc38a1,-1,LC
69354,Slc38a4,3,HC
11989,Slc7a3,-1,LC
74338,Slc6a19,3,HC
57394,Cltrn,-1,LC
70008,Ace2,3,HC
76282,Gpt,3,HC
108682,Gpt2,3,HC
209837,Slc38a5,-1,LC
76257,Slc38a3,3,HC
225791,Zadh2,3,HC
58810,Akr1a1,3,HC
11668,Aldh1a1,3,HC
19378,Aldh1a2,3,HC
110695,Aldh7a1,3,HC
56752,Aldh9a1,3,HC
11671,Aldh3a2,3,HC
72535,Aldh1b1,-1,LC
11669,Aldh2,3,HC
11684,Alox12,3,HC
11688,Alox8,1,MC
11687,Alox15,-1,LC
11689,Alox5,3,HC
110198,Akr7a5,3,HC
11677,Akr1b3,0,NC
17117,Amacr,3,HC
67582,Slc25a26,3,HC
109674,Ampd2,3,HC
229665,Ampd1,3,HC
11717,Ampd3,3,HC
16790,Anpep,3,HC
109959,Amy2a5,0,NC
100043688,Amy2a2,0,NC
100043684,Amy2a4,0,NC
100043686,Amy2a3,0,NC
11722,Amy1,3,HC
20532,Slc3a1,-1,LC
30962,Slc7a9,-1,LC
26459,Slc27a5,-1,LC
242669,Azin2,-1,LC
330836,Slc7a6,3,HC
11847,Arg2,-1,LC
11898,Ass1,0,NC
83885,Slc25a2,-1,LC
18408,Slc25a15,3,HC
11883,Arsa,3,HC
11886,Asah1,3,HC
54338,Slc23a2,3,HC
20522,Slc23a1,-1,LC
66514,Asrgl1,3,HC
27053,Asns,3,HC
69719,Cad,3,HC
20513,Slc1a6,3,HC
20510,Slc1a1,3,HC
20512,Slc1a3,3,HC
20511,Slc1a2,-1,LC
242607,Slc1a7,3,HC
12496,Entpd2,3,HC
12495,Entpd1,3,HC
215446,Entpd3,-1,LC
12497,Entpd6,3,HC
12499,Entpd5,3,HC
72090,Entpd8,-1,LC
11739,Slc25a4,3,HC
11740,Slc25a5,3,HC
73333,Slc25a31,-1,LC
110173,Manba,3,HC
26879,B3galnt1,3,HC
54218,B3galt4,3,HC
93961,B3galt5,-1,LC
108105,B3gnt5,-1,LC
12012,Baat,3,HC
110948,Hlcs,3,HC
22348,Slc32a1,-1,LC
170442,Bbox1,-1,LC
63857,Bco1,-1,LC
71911,Bdh1,3,HC
64918,Bhmt2,-1,LC
12116,Bhmt,1,MC
101488,Slco2b1,3,HC
12780,Abcc2,-1,LC
76408,Abcc3,3,HC
28253,Slco1b2,-1,LC
233016,Blvrb,3,HC
109778,Blvra,3,HC
55981,Pigb,3,HC
23827,Bpnt1,3,HC
26363,Btd,3,HC
330064,Slc5a6,3,HC
80721,Slc19a3,-1,LC
103149,Upb1,3,HC
73166,Tm7sf2,3,HC
18194,Nsdhl,3,HC
15488,Hsd17b4,3,HC
66234,Msmo1,3,HC
320707,Atp2b3,0,NC
11941,Atp2b2,-1,LC
67972,Atp2b1,3,HC
381290,Atp2b4,0,NC
12359,Cat,3,HC
110893,Slc8a3,3,HC
20541,Slc8a1,3,HC
110891,Slc8a2,-1,LC
109136,Mmaa,3,HC
14377,G6pc,-1,LC
14378,G6pc2,-1,LC
68401,G6pc3,3,HC
227231,Cps1,0,NC
12408,Cbr1,3,HC
52858,Cdipt,3,HC
74596,Cds1,3,HC
110911,Cds2,3,HC
99712,Cept1,3,HC
212862,Chpt1,3,HC
223753,Cerk,3,HC
68018,Col4a3bp,3,HC
57738,Slc15a2,3,HC
12642,Ch25h,-1,LC
12647,Chat,0,NC
237928,Phospho1,3,HC
13026,Pcyt1a,3,HC
236899,Pcyt1b,-1,LC
108096,Slco1a5,-1,LC
20493,Slc10a1,-1,LC
20494,Slc10a2,-1,LC
27413,Abcb11,-1,LC
218865,Chdh,0,NC
12651,Chkb,3,HC
12660,Chka,1,MC
63993,Slc5a7,-1,LC
20518,Slc22a2,-1,LC
20520,Slc22a5,3,HC
54200,Sult2b1,-1,LC
59045,Stard3,3,HC
11303,Abca1,3,HC
81600,Chia1,1,MC
67729,Mansc1,3,HC
71884,Chit1,3,HC
20500,Slc13a2,-1,LC
13358,Slc25a1,3,HC
12716,Ckmt1,-1,LC
76722,Ckmt2,3,HC
12709,Ckb,3,HC
12715,Ckm,3,HC
23985,Slc26a4,-1,LC
171429,Slc26a6,0,NC
66586,Crls1,3,HC
24060,Slc35a1,3,HC
12764,Cmas,3,HC
73132,Slc25a16,3,HC
436059,Ces2h,0,NC
230027,Coq3,3,HC
217707,Coq6,3,HC
12850,Coq7,3,HC
72077,Gcnt3,-1,LC
14537,Gcnt1,3,HC
218476,Gcnt4,0,NC
272411,B3gnt6,-1,LC
102857,Slc6a8,3,HC
12908,Crat,3,HC
30805,Slc22a4,3,HC
12974,Cs,3,HC
74114,Crot,3,HC
20539,Slc7a5,3,HC
50934,Slc7a8,3,HC
12583,Cdo1,3,HC
215113,Slc43a2,3,HC
26570,Slc7a11,-1,LC
72269,Cda,-1,LC
11628,Aicda,-1,LC
80914,Uck2,3,HC
22245,Uck1,0,NC
66588,Cmpk1,3,HC
22169,Cmpk2,3,HC
320127,Dgki,1,MC
217480,Dgkb,-1,LC
104418,Dgkz,3,HC
380921,Dgkh,3,HC
110197,Dgkg,-1,LC
227333,Dgkd,0,NC
13139,Dgka,3,HC
56077,Dgke,3,HC
110524,Dgkq,-1,LC
13142,Dao,-1,LC
93692,Glrx,3,HC
69367,Glrx2,3,HC
70503,Ddo,3,HC
13177,Eci1,3,HC
23986,Eci2,3,HC
13178,Dck,3,HC
13190,Dct,-1,LC
20249,Scd1,3,HC
56473,Fads2,-1,LC
76267,Fads1,3,HC
13350,Dgat1,3,HC
67800,Dgat2,3,HC
27369,Dguok,3,HC
20527,Slc2a3,3,HC
20525,Slc2a1,3,HC
20528,Slc2a4,3,HC
74754,Dhcr24,3,HC
13122,Cyp7a1,-1,LC
13360,Dhcr7,3,HC
13244,Degs1,3,HC
70059,Degs2,-1,LC
20860,Sult1e1,3,HC
56749,Dhodh,3,HC
64705,Dpys,-1,LC
22240,Dpysl3,3,HC
12934,Dpysl2,3,HC
57274,Slc16a8,-1,LC
110196,Fdps,0,NC
74129,Dmgdh,1,MC
67283,Slc25a19,3,HC
380959,Alg10b,3,HC
68563,Dpm3,0,NC
13481,Dpm2,3,HC
13480,Dpm1,3,HC
59012,Moxd1,3,HC
13166,Dbh,3,HC
22173,Tyr,-1,LC
20538,Slc6a2,-1,LC
13162,Slc6a3,3,HC
20519,Slc22a3,3,HC
12183,Bpgm,3,HC
18648,Pgam1,0,NC
56012,Pgam2,3,HC
192156,Mvd,3,HC
232449,Dera,3,HC
99586,Dpyd,3,HC
21877,Tk1,3,HC
57813,Tk2,3,HC
110074,Dut,3,HC
16434,Itpa,3,HC
13595,Ebp,3,HC
93747,Echs1,3,HC
11992,Auh,3,HC
51798,Ech1,3,HC
74147,Ehhadh,3,HC
26458,Slc27a2,3,HC
108115,Slco4a1,3,HC
58807,Slco1c1,-1,LC
239273,Abcc4,3,HC
108116,Slco3a1,3,HC
110826,Etfb,3,HC
110842,Etfa,3,HC
66841,Etfdh,3,HC
75320,Etnk1,3,HC
214253,Etnk2,0,NC
75540,Fpgt,3,HC
435766,Tnni3k,-1,LC
74205,Acsl3,3,HC
50790,Acsl4,3,HC
14081,Acsl1,3,HC
433256,Acsl5,3,HC
328845,Acsbg2,-1,LC
216739,Acsl6,3,HC
117147,Acsm1,-1,LC
18605,Enpp1,3,HC
209558,Enpp3,3,HC
83603,Elovl4,-1,LC
170439,Elovl6,1,MC
68801,Elovl5,3,HC
54326,Elovl2,3,HC
666168,Cyp4a31,-1,LC
100040843,Cyp4a32,0,NC
13117,Cyp4a10,-1,LC
435802,Cyp4a30b,0,NC
14104,Fasn,3,HC
26457,Slc27a1,3,HC
26569,Slc27a4,3,HC
26568,Slc27a3,-1,LC
11674,Aldoa,3,HC
230163,Aldob,3,HC
11676,Aldoc,-1,LC
14121,Fbp1,-1,LC
270198,Pfkfb4,3,HC
18639,Pfkfb1,3,HC
170768,Pfkfb3,3,HC
18640,Pfkfb2,3,HC
14120,Fbp2,3,HC
14151,Fech,3,HC
107747,Aldh1l1,3,HC
73649,Cybrd1,3,HC
234730,Fcsk,3,HC
71562,Afmid,3,HC
13361,Dhfr,3,HC
14287,Fpgs,3,HC
56017,Slc2a8,3,HC
20526,Slc2a2,-1,LC
435818,Slc2a7,0,NC
56485,Slc2a5,-1,LC
216188,Aldh1l2,3,HC
270685,Mthfd1l,3,HC
108156,Mthfd1,3,HC
66848,Fuca2,3,HC
71665,Fuca1,3,HC
14085,Fah,3,HC
14194,Fh1,3,HC
14343,Fut1,-1,LC
14348,Fut9,-1,LC
57370,B4galt3,3,HC
53418,B4galt2,1,MC
14595,B4galt1,3,HC
56336,B4galt5,3,HC
14571,Gpd2,3,HC
56454,Aldh18a1,3,HC
100198,H6pd,3,HC
14381,G6pdx,3,HC
14385,Slc37a4,3,HC
14431,Gamt,3,HC
53897,Gal3st1,3,HC
19025,Ctsa,3,HC
12091,Glb1,3,HC
50917,Galns,3,HC
18010,Neu1,3,HC
14420,Galc,3,HC
14421,B4galnt1,1,MC
234356,Csgalnact1,3,HC
78752,Csgalnact2,3,HC
74241,Chpf,-1,LC
269941,Chsy1,3,HC
78923,Chsy3,3,HC
230145,Galnt12,3,HC
14423,Galnt1,3,HC
231605,Galnt9,-1,LC
14426,Galnt4,3,HC
171212,Galnt10,3,HC
271786,Galnt13,-1,LC
207839,Galnt6,-1,LC
78754,Galnt15,3,HC
241391,Galnt5,0,NC
108148,Galnt2,3,HC
108150,Galnt7,3,HC
71685,Galnt14,3,HC
231050,Galnt11,3,HC
14425,Galnt3,1,MC
170441,Slc2a10,3,HC
117592,B3galt6,3,HC
218271,B4galt7,3,HC
232714,Mgam,0,NC
14450,Gart,3,HC
11593,Aga,3,HC
14466,Gba,3,HC
227671,Gbgt1,-1,LC
104776,Aldh6a1,3,HC
214579,Aldh5a1,0,NC
434437,Amt,0,NC
104174,Gldc,-1,LC
68133,Gcsh,0,NC
14538,Gcnt2,3,HC
228368,Slc35c1,3,HC
22122,Tsta3,3,HC
14590,Ggh,0,NC
110175,Ggct,0,NC
27357,Gyg,3,HC
232493,Gys2,1,MC
14936,Gys1,3,HC
23887,Ggt5,3,HC
108037,Shmt2,3,HC
20425,Shmt1,3,HC
11605,Gla,3,HC
74185,Gbe1,3,HC
110006,Gusb,3,HC
109685,Hyal3,-1,LC
93683,Glce,3,HC
100910,Chpf2,0,NC
14042,Ext1,3,HC
14043,Ext2,3,HC
76898,B3gat1,1,MC
280645,B3gat2,0,NC
72727,B3gat3,3,HC
27419,Naglu,3,HC
64580,Ndst4,3,HC
15531,Ndst1,3,HC
83398,Ndst3,-1,LC
17423,Ndst2,3,HC
54616,Extl3,3,HC
58193,Extl2,3,HC
56219,Extl1,3,HC
117591,Slc2a9,-1,LC
353169,Slc2a12,3,HC
227659,Slc2a6,3,HC
20537,Slc5a1,-1,LC
77559,Agl,3,HC
110078,Pygb,3,HC
19309,Pygm,3,HC
110095,Pygl,3,HC
14629,Gclc,3,HC
14630,Gclm,3,HC
14661,Glud1,3,HC
14317,Ftcd,1,MC
14660,Gls,0,NC
216456,Gls2,-1,LC
71803,Slc25a18,-1,LC
68267,Slc25a22,3,HC
270076,Gcdh,3,HC
140919,Slc17a6,-1,LC
216227,Slc17a8,0,NC
72961,Slc17a7,1,MC
15112,Hao1,-1,LC
56185,Hao2,-1,LC
67092,Gatm,3,HC
76238,Grhpr,3,HC
14933,Gk,3,HC
14626,Gk2,-1,LC
14651,Hagh,3,HC
14664,Slc6a9,3,HC
110208,Pgd,3,HC
14711,Gnmt,3,HC
14732,Gpam,3,HC
70325,Pigw,0,NC
241062,Pgap1,0,NC
67556,Pigm,3,HC
72084,Pigx,3,HC
14782,Gsr,3,HC
21672,Prdx2,3,HC
18477,Prdx1,3,HC
14776,Gpx2,3,HC
14775,Gpx1,3,HC
625249,Gpx4,0,NC
14778,Gpx3,3,HC
75512,Gpx6,-1,LC
67305,Gpx7,3,HC
11757,Prdx3,3,HC
14854,Gss,3,HC
14598,Ggt1,-1,LC
234889,Gucy1a2,0,NC
54195,Gucy1b1,3,HC
230103,Npr2,3,HC
245650,Gucy2f,0,NC
14917,Gucy2c,3,HC
18160,Npr1,3,HC
14919,Gucy2e,-1,LC
60596,Gucy1a1,3,HC
14544,Gda,3,HC
12352,Car5a,-1,LC
56078,Car5b,-1,LC
27392,Pign,-1,LC
230801,Pigv,3,HC
99439,Duox1,3,HC
214593,Duox2,0,NC
11833,Aqp8,3,HC
56703,Pigo,3,HC
18701,Pigf,3,HC
433931,Pigg,0,NC
239827,Pigz,3,HC
329777,Pigk,3,HC
14731,Gpaa1,3,HC
228812,Pigu,3,HC
276846,Pigs,3,HC
78928,Pigt,3,HC
15108,Hsd17b10,3,HC
15107,Hadh,3,HC
15118,Has3,3,HC
15116,Has1,-1,LC
15117,Has2,3,HC
71883,Coq2,3,HC
20535,Slc4a2,3,HC
240215,Slc4a9,-1,LC
20533,Slc4a1,3,HC
20536,Slc4a3,3,HC
103988,Gck,3,HC
15277,Hk2,0,NC
15275,Hk1,3,HC
216019,Hkdc1,-1,LC
212032,Hk3,3,HC
15233,Hgd,-1,LC
58875,Hibadh,3,HC
15186,Hdc,3,HC
11944,Atp4a,-1,LC
11945,Atp4b,3,HC
70789,Kynu,-1,LC
208715,Hmgcs1,0,NC
15360,Hmgcs2,3,HC
15356,Hmgcl,3,HC
208982,Hmgcll1,-1,LC
15368,Hmox1,3,HC
15369,Hmox2,3,HC
56794,Hacl1,3,HC
52815,Ldhd,3,HC
27029,Sgsh,3,HC
15483,Hsd11b1,3,HC
15484,Hsd11b2,1,MC
15485,Hsd17b1,3,HC
14979,H2-Ke6,3,HC
15486,Hsd17b2,-1,LC
15490,Hsd17b7,3,HC
15497,Hsd3b6,0,NC
15492,Hsd3b1,-1,LC
15496,Hsd3b5,-1,LC
15494,Hsd3b3,1,MC
15493,Hsd3b2,-1,LC
15495,Hsd3b4,0,NC
100043456,Gm10681,0,NC
101502,Hsd3b7,3,HC
57028,Pdxp,3,HC
15929,Idh3g,3,HC
170718,Idh3b,3,HC
67834,Idh3a,3,HC
15926,Idh1,3,HC
269951,Idh2,3,HC
22018,Tpo,-1,LC
15932,Idua,3,HC
12036,Bcat2,3,HC
72401,Slc43a1,3,HC
56727,Miox,-1,LC
239606,Slc2a13,3,HC
53881,Slc5a3,-1,LC
319554,Idi1,0,NC
320581,Idi2,-1,LC
216225,Slc5a8,0,NC
56451,Suclg1,3,HC
20917,Suclg2,3,HC
20916,Sucla2,3,HC
20498,Slc12a4,3,HC
20499,Slc12a7,3,HC
107723,Slc12a6,3,HC
57138,Slc12a5,1,MC
16548,Khk,3,HC
236727,Slc9a7,0,NC
77031,Slc9a8,3,HC
98256,Kmo,3,HC
226413,Lct,-1,LC
11432,Acp2,3,HC
16816,Lcat,3,HC
171405,Slc22a27,-1,LC
207151,Slc22a19,-1,LC
236149,Slc22a26,3,HC
236293,Slc22a29,3,HC
319800,Slc22a30,0,NC
434674,Slc22a28,0,NC
327951,Cyb5d1,0,NC
64008,Aqp9,-1,LC
106648,Cyp4f15,-1,LC
16987,Lss,3,HC
18783,Pla2g4a,3,HC
12735,-,0,NC
19193,Pipox,-1,LC
16956,Lpl,3,HC
15450,Lipc,-1,LC
12613,Cel,-1,LC
116939,Pnpla3,3,HC
23945,Mgll,3,HC
237625,Pla2g3,0,NC
79235,Lrat,-1,LC
235293,Sc5d,3,HC
16993,Lta4h,3,HC
17001,Ltc4s,1,MC
66447,Mgst3,3,HC
211666,Mgst2,3,HC
14874,Gstz1,3,HC
14387,Gaa,3,HC
72039,Mccc1,3,HC
78038,Mccc2,3,HC
56690,Mlycd,3,HC
246221,Mpst,3,HC
17448,Mdh2,3,HC
17449,Mdh1,3,HC
107029,Me2,3,HC
17436,Me1,3,HC
109264,Me3,3,HC
15930,Ido1,-1,LC
13095,Cyp2c29,3,HC
13076,Cyp1a1,1,MC
13078,Cyp1b1,3,HC
13077,Cyp1a2,-1,LC
11720,Mat1a,-1,LC
108645,Mat2b,3,HC
232087,Mat2a,3,HC
238505,Mtr,3,HC
17855,Mvk,3,HC
16331,Inpp5d,3,HC
104015,Synj1,3,HC
16332,Inppl1,3,HC
170835,Inpp5j,3,HC
16330,Inpp5b,3,HC
64436,Inpp5e,3,HC
212111,Inpp5a,3,HC
16329,Inpp1,3,HC
228550,Itpka,-1,LC
233011,Itpkc,3,HC
320404,Itpkb,0,NC
71780,Isyna1,3,HC
269180,Inpp4a,-1,LC
234515,Inpp4b,-1,LC
76051,Ganc,3,HC
73724,Mcee,3,HC
17850,Mmut,3,HC
68393,Mogat1,1,MC
233549,Mogat2,-1,LC
66902,Mtap,3,HC
17768,Mthfd2,3,HC
94192,C1galt1,3,HC
11484,Aspa,3,HC
71670,Acy3,3,HC
17939,Naga,3,HC
59033,Slc4a8,-1,LC
94229,Slc4a10,-1,LC
114479,Slc5a5,-1,LC
11931,Atp1b1,3,HC
232975,Atp1a3,-1,LC
98660,Atp1a2,3,HC
67821,Atp1b4,3,HC
11933,Atp1b3,3,HC
11928,Atp1a1,3,HC
27222,Atp1a4,0,NC
11932,Atp1b2,3,HC
20544,Slc9a1,3,HC
105243,Slc9a3,0,NC
226999,Slc9a2,3,HC
338403,Cndp1,-1,LC
66054,Cndp2,3,HC
20497,Slc12a3,3,HC
238384,Slc24a4,-1,LC
94249,Slc24a3,3,HC
214111,Slc24a1,-1,LC
76376,Slc24a2,3,HC
76025,Cant1,3,HC
66422,Dctpp1,3,HC
67464,Entpd4,3,HC
100862375,Entpd4b,0,NC
21915,Dtymk,3,HC
79059,Nme3,3,HC
18103,Nme2,0,NC
18102,Nme1,3,HC
54369,Nme6,3,HC
171567,Nme7,3,HC
56520,Nme4,3,HC
58176,Rhbg,1,MC
19743,Rhag,3,HC
20495,Slc12a1,-1,LC
20496,Slc12a2,3,HC
74080,Nmnat3,3,HC
66454,Nmnat1,3,HC
226518,Nmnat2,3,HC
59027,Nampt,3,HC
18113,Nnmt,3,HC
18948,Pnmt,-1,LC
18127,Nos3,3,HC
18125,Nos1,3,HC
18126,Nos2,-1,LC
667034,Pnp2,0,NC
18950,Pnp,3,HC
20517,Slc22a1,3,HC
20445,St6galnac1,3,HC
50773,Nt5c,3,HC
18675,Phex,-1,LC
103850,Nt5m,3,HC
23959,Nt5e,3,HC
69983,Sis,0,NC
18416,Otc,-1,LC
67041,Oxct1,3,HC
353371,Oxct2b,0,NC
13171,Dbt,3,HC
12040,Bckdhb,3,HC
12039,Bckdha,3,HC
75475,Oplah,3,HC
18242,Oat,3,HC
22247,Umps,3,HC
13521,Slc26a2,3,HC
231583,Slc26a1,-1,LC
13487,Slc26a3,-1,LC
13070,Cyp11a1,-1,LC
13072,Cyp11b2,-1,LC
110115,Cyp11b1,-1,LC
13074,Cyp17a1,-1,LC
13075,Cyp19a1,-1,LC
56388,Cyp3a25,-1,LC
13113,Cyp3a13,3,HC
13114,Cyp3a16,-1,LC
337924,Cyp3a44,3,HC
13112,Cyp3a11,-1,LC
100041449,Cyp3a59,0,NC
622127,Cyp3a57,0,NC
100041375,Cyp3a41b,0,NC
13079,Cyp21a1,1,MC
104086,Cyp27a1,3,HC
13086,Cyp2a4,0,NC
13087,Cyp2a5,0,NC
72082,Cyp2c55,-1,LC
13097,Cyp2c38,-1,LC
13098,Cyp2c39,-1,LC
69888,Cyp2c66,0,NC
72303,Cyp2c65,0,NC
56448,Cyp2d22,3,HC
13107,Cyp2f2,3,HC
56050,Cyp39a1,3,HC
53973,Cyp3a41a,0,NC
13116,Cyp46a1,1,MC
64385,Cyp4f14,-1,LC
170716,Cyp4f13,3,HC
72054,Cyp4f18,3,HC
13123,Cyp7b1,-1,LC
13124,Cyp8b1,-1,LC
209027,Pycr1,0,NC
100163,Pafah2,3,HC
18475,Pafah1b2,3,HC
18476,Pafah1b3,3,HC
18472,Pafah1b1,3,HC
27226,Pla2g7,3,HC
73836,Slc35b2,3,HC
11982,Atp10a,3,HC
18806,Pld2,3,HC
18805,Pld1,3,HC
